sst,department,storage
islamische gelehrtenbibliothek,@b,Islamische Gelehrtenbibliothek im Magazin der Bibliothek Alte Münze [Islamische Gelehrtenbibliothek]
j all,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J all]
j arb,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J arb]
j muk,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J muk]
j oef,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J oef]
j pri,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J pri]
j rec,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J rec]
j soz,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J soz]
j soz,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J soz]
j str,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J str]
j umw,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J umw]
j voe,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J voe]
j,@j,Rechtswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J]
j-1,@j,Handapparat Prof. Dr. Krack [J-1]
j-10,@j,Handapparat Prof. Dr. Hartmann [J-10]
j-11,@j,Handapparat Prof. Dr. Schmitz [J-11]
j-12,@j,Handapparat Prof. Dr. Foerste [J-12]
j-13,@j,Handapparat Prof. Dr. Sinn [J-13]
j-14,@j,Handapparat Prof. Dr. McGuire [J-14]
j-15,@j,Handapparat Prof. Dr. Fuchs [J-15]
j-16,@j,Handapparat Prof. Dr. Zoll [J-16]
j-17,@j,Handapparat Prof. Dr. Groß [J-17]
j-18,@j,Handapparat Prof. Dr. Busch [J-18]
j-19,@j,Handapparat Prof. Dr. Dörr [J-19]
j-2,@j,Handapparat Prof. Dr. Schulte-Nölke [J-2]
j-20,@j,Handapparat Prof. Dr. Gesk [J-20]
j-3,@j,Handapparat Prof. Dr. Bieder [J-3]
j-4,@j,Handapparat Prof. Dr. von Bar [J-4]
j-5,@j,Handapparat Prof. Dr. Tappe [J-5]
j-6,@j,Handapparat Prof. Dr. Ipsen [J-6]
j-7,@j,Handapparat Prof. Dr. Cancik [J-7]
j-8,@j,Handapparat Prof. Dr. Leuschner [J-8]
j-9,@j,Handapparat Prof. Dr. Jochum [J-9]
j-cip,@j,CIP-Pool Rechtswissenschaften Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J-CIP]
j-ed,@j,Europäisches Dokumentationszentrum in der Bibliothek des European Legal Studies Institute [J-ED]
j-eu all,@j,Bibliothek des European Legal Studies Institute [J-EU all]
j-eu oef,@j,Bibliothek des European Legal Studies Institute [J-EU oef]
j-eu pri,@j,Bibliothek des European Legal Studies Institute [J-EU pri]
j-eu rec,@j,Bibliothek des European Legal Studies Institute [J-EU rec]
j-eu str,@j,Bibliothek des European Legal Studies Institute [J-EU str]
j-eu,@j,Bibliothek des European Legal Studies Institute [J-EU]
j-eu-medienschrank,@j,Medienschrank in der Bibliothek des European Legal Studies Institute [J-EU-Medienschrank]
j-eu-raraschrank,@j,Raraschrank in der Bibliothek des European Legal Studies Institute [J-EU-Raraschrank]
j-freihand-magazin,@j,Freihand-Magazin Bibliothek Rechts- und Wirtschaftswissenschaften (UG) [J-Freihand-Magazin]
j-fs,@j,Institut für Finanz- und Steuerrecht [J-FS]
j-fs-bibliothek schindhelm,@j,Bibliothek Schindhelm in der Institutsbibliothek Finanz- und Steuerrecht [J-FS-Bibliothek Schindhelm]
j-fs-magazin,@j,Magazin der Institutsbibliothek Finanz- und Steuerrecht [J-FS-Magazin]
j-fs-medienschrank,@j,Medienschrank im Institut für Finanz- und Steuerrecht [J-FS-Medienschrank]
j-fs-raraschrank,@j,Raraschrank im Institut für Finanz- und Steuerrecht [J-FS-Raraschrank]
j-ic,@j,Ius-Commune-Bibliothek [J-IC]
j-ic-handapparat,@j,Handapparat der Ius-Commune-Bibliothek [J-IC-Handapparat]
j-kr,@j,Institut für Kommunalrecht [J-KR]
j-kr-raraschrank,@j,Raraschrank im Institut für Kommunalrecht [J-KR-Raraschrank]
j-lb,@j,Lehrbuchsammlung Rechtswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J-LB]
j-magazin,@j,Magazin Rechtswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J-Magazin]
j-medienschrank,@j,Medienschrank der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J-Medienschrank]
j-raraschrank,@j,Raraschränke der Rechtswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [J-Raraschrank]
j-vr,@j,Institut für Verfahrensrecht [J-VR]
j-vr-raraschrank,@j,Raraschrank im Institut für Verfahrensrecht [J-VR-Raraschrank]
j-wr,@j,Institut für Handels- und Wirtschaftsrecht [J-WR]
j-ws,@j,Institut für Wirtschaftsstrafrecht [J-WS]
konrad-liebmann-stiftung,@b,Ausstellungsbestand Konrad-Liebmann-Stiftung [Konrad-Liebmann-Stiftung]
l,@n,Apparat Biologie [L]
l-6,@n,Botanischer Garten [L-6]
l-8,@n,Chemie [L-8]
m-1,@n,FB Physik: Elekronikwerkstatt [M-1]
m-10,@n,Nanowissenschaften [M-10]
m-11,@n,Stochastische Prozesse und Anwendungen [M-11]
m-12,@n,Handapparat Angewandte Analysis [M-12]
m-2,@n,Handbibliothek  Physik [M-2]
m-4,@n,Handbibliothek Labor mit Schulversuchen [M-4]
m-5,@,Informatik [M-5]
m-6,@n,FB Physik: Feinmechanische Werkstatt [M-6]
m-7,@n,Algebraische Topologie [M-7]
m-8,@n,Angewandte Systemwissenschaft [M-8]
m-9,@n,Handapparat Institut für Kognitive Mathematik [M-9]
n agr,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N agr]
n bio,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N bio]
n che,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N che]
n clk,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N clk]
n csc,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N csc]
n geo,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N geo]
n inf,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N inf]
n ing,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N ing]
n mat,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N mat]
n med,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N med]
n nat,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N nat]
n pae,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N pae]
n phy,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N phy]
n psy,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N psy]
n vwl,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N vwl]
n,@n,Bereichsbibliothek Naturwissenschaften / Mathematik [N]
n-hochschulschriften-magazin,@n,Hochschulschriften-Magazin der Bereichsbibliothek Naturwissenschaften / Mathematik [N-Hochschulschriften-Magazin]
n-lb,@n,Lehrbuchsammlung der Bereichsbibliothek Naturwissenschaften / Mathematik [N-LB]
n-magazin,@n,Magazin in der Bereichsbibliothek Naturwissenschaften / Mathematik [N-Magazin]
n-medienschrank,@n,Medienschrank in der Bereichsbibliothek Naturwissenschaften / Mathematik [N-Medienschrank]
p-3,@g,Kunstdrucke [P-3]
p-6,@,Mediothek Musik: Tonträger; Medien [P-6]
p-7,@,Mediothek Musik: Partituren [P-7]
q-1,@,Gesundheitswissenschaften [Q-1]
q-2,@,Dermatologie; Umweltmedizin und Gesundheitstheorie [Q-2]
s-1,@,Mediothek des Fachbereichs Sprach- und Literaturwissenschaft [S-1]
s-4,@b,Bibliothek des Interdisziplinären Instituts für Kulturgeschichte der Frühen Neuzeit (IKFN) [S-4]
s-6,@,Erich Maria Remarque-Archiv / Forschungsstelle Krieg und Literatur [S-6]
s-7,@,Institut für Kognitionswissenschaft (IKW) [S-7]
u-1,@,AV-Sammlung Katholische Theologie [U-1]
u-3,@,DFG-Projekt Pentateuch / Judaistik [U-3]
u-4,@,Studienapparat Eder [U-4]
v,@,Universitätsverwaltung [V]
w bwl,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [W bwl]
w vwl,@j,Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [W vwl]
w,@j,Wirtschaftswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [W]
w-1,@j,Handapparat Prof. Dr. Thomas [W-1]
w-10,@j,Handapparat Prof. Dr. Wosnitza [W-10]
w-11,@j,Handapparat Prof. Dr. Braulke [W-11]
w-12,@j,Handapparat Prof. Dr. Grundke [W-12]
w-13,@j,Handapparat Prof. Dr. Knüppel [W-13]
w-14,@j,Handapparat Prof. Dr. Rieger [W-14]
w-15,@j,Handapparat  Prof. Dr. Scholze [W-15]
w-16,@j,Handapparat  Prof. Dr. Teuteberg [W-16]
w-18,@j,Handapparat Prof. Dr. Gillenkirch [W-18]
w-19,@j,Handapparat Prof. Dr. Hausberg [W-19]
w-2,@j,Handapparat Prof. Dr. Baumgartner [W-2]
w-3,@j,Handapparat Prof. Dr. Hoppe [W-3]
w-4,@j,Handapparat Prof. Dr. Ossadnik [W-4]
w-5,@j,Handapparat Prof. Humphrey; Ph. D. [W-5]
w-6,@j,Handapparat Prof. Dr. Dinger [W-6]
w-7,@j,Handapparat Prof. Dr. Westermann [W-7]
w-8,@j,Handapparat Prof. Dr. Gaube [W-8]
w-9,@j,Handapparat Prof. Dr. Wilde [W-9]
w-lb,@j,Lehrbuchsammlung Wirtschaftswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [W-LB]
w-magazin,@j,Magazin Wirtschaftswissenschaften in der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [W-Magazin]
w-medienschrank,@j,Medienschrank der Bereichsbibliothek Rechts- und Wirtschaftswissenschaften [W-Medienschrank]
x,@,VirtUOS Zentrum für Informationsmanagement und virtuelle Lehre [X]
y,@,Zentrale Studienberatungsstelle (ZSB); StudiOS [Y]
z,@,Zentrum für Lehrerbildung (ZLB) [Z]
